1745004016,GADASARAI
1745004017,ANGAI
1745004018,GIDHA
1745004019,SARANGPUR
1745004020,KHARGAHNA
1745004021,KAUDIYA
1745004022,UFRI
1745004023,SUNHA  DADAR
1745004024,SUNIYAMAR
1745004025,BARGAON
1745004026,SHOBHAPUR
1745004027,BONDAR
1745004028,SUKALPURA
1745004029,LALPUR MAL
1745004030,DHANOLI
1745004031,PARASWAH
1745004032,MAJHIYAKHAR MAL.
1745004033,GANNAGUDA
1745004034,KIKARATALAB
1745004035,PATHARKUCHA RYT
1745004036,SINGHPUR MAL.
1745004037,PIPARIYA
1745004038,GHOPATPUR MAL.
1745004039,BACHHARGAON  MAL.
1745004040,GIRWARPUR MAL.
1745004041,KEOLARI
1745004042,KARONDA RYT.
1745004043,CHADHA VAN GRAM
1745004044,KHAMHERA
1745004045,SUNPURI
1745004046,DULLOPUR
1745005001,DHURKUTTA
1745005002,BANJRA
1745005003,GOURAKANHARI
1745005004,DAMITITRAHI
1745005005,JADASURANG
1745005006,KIWAD  RYT
1745005007,KEOLARI
1745005008,KAREGAON
1745005009,GHATA RYT
1745005010,JATADONGRI MAL
1745005011,SALHEGHORI MAL
1745005012,MOHGAON
1745005013,BAMHANI
1745005014,MOHTI RYT
1745005015,KHAMHI
1745005016,ANDAI  RYT
1745005017,JHANKI  MAL
1745005018,DEWALPUR
1745005019,SAMNAPUR
1745005020,SUNDARPUR
1745005021,NANDINDORI
1745005022,PREMPUR
1745005023,KOKOMATA
1745005024,MUKUTPUR
1745005025,SARAI
1745005026,CHHATA
1745005027,KIVTTY
1745005028,PADARIYA (3 VILLAGES)
1745005029,MADHOPUR
1745005030,KUKARRAMATH
1745005031,BUDRUKHI
1745005032,BARGAON RYT
1745005033,KHAMA
1745005034,KANCHANPUR
1745005035,BHAJITOL MAL
1745005036,LADWANI
1745005037,SARAIMAL
1745005038,MANIKPUR
1745005039,ATARIYA
1745005040,PIPARIYA
1745005041,MARGAON
1745005042,PADARIYA(2 VILLAGES)
1745005043,BILAIKHAR
1745005044,MAJHGAON
1745005045,AJGAR
1745005046,CHANDRANI
1745005047,DUNGARIYA
1745005048,PITARI
1745006001,BARNAI
1745006002,RAMNAGAR
1745006003,KARANJIYA
1745006004,KHANNAT
1745006005,RAITWAR
1745006006,JUGDEHI
1745006007,BAHARPUR
1745006008,KHAMHARKHUDRA
1745006009,GOPALPUR
1745006010,THADPATHARA
1745006011,SENGUDA
1745006012,CHAKMI RYT
1745006013,ROOSA
1745006014,BUNDELA
1745006015,PARSEL MAL
1745006016,BHUSUNDA
1745006017,MANIKPUR
1745006018,SAILWAR
1745006019,SADWACHHAPAR
1745006020,UMARIYA
1745006021,JARASURANG
1745006022,GORAKHPUR
1745006023,PATAN
1745006024,BHALKHOHA
1745006025,NARIGWARA
1745006026,BONDAR
1745006027,BITHALDEHI RYT
1745006028,JHANKI
1745006029,MOHTARA
1745006030,DHAVADONGARI
1745006031,MUSAMUNDI
1745006032,CHANDANA
1745006033,GARKAMATTA
1745006034,MEDHAKHAR
1745006035,BARBASPUR MAL
1745006036,PANDARAPAANI
1745006037,KATIGAHAN  RYT
1745006038,KHARIDEHA
1745006039,FERANGI
1745006040,KABIR
1745006041,CHAURADADAR
1745006042,BAWELLY
1745007001,BILGADA
1745007002,KUTRAI MAAL
1745007003,SURAJPURA
1745007004,DOGARGHAT
1745007005,MEHANDWANI
1745007006,DULHARI
1745007007,JURKA REYAT
1745007008,MATYAARI
1745007009,GHMNI
1745007010,KTHOTIYA
1745007011,PARAPANI
1745007012,BARAI
1745007013,SARSI MAAL
1745007014,SARAS DOLI
1745007015,PADRIYA
1745007016,JHARANEJHAR
1745007017,KOSAMGHAAT
1745007018,KANERI MAAL
1745007019,JAITPURI
1745007020,PIPRIYA
1745007021,MANERI REYAT
1745007022,BAHADUR MAAL
1745007023,KANHARI
1745007024,CHAUBISA MAAL
1745007025,RADHOPUR
1745007026,RAYEE
1745007027,KHRAGWARA
1745007028,BHODASAAJ MAAL
1745007029,UMARIA REYAT
1745007030,BHALWARA
1745007031,KALGITOLA
1745007032,KHAJARWARA
1745007033,SUKHLODI
1745007034,HARTOL VANGRAM
1745007035,BULDAMAAL
1745007036,KEWALADAR
1745007037,MASSORGUGHARI
1745007038,SARANGPUR
1745007039,PHULWAHI
1745007040,PATRITOLA MAAL
1745007041,KHAMHARIYA MAAL
1745007042,PAYALI
1745007043,JHARGUDA
1745007044,BHANPUR
1745007045,KHJRI
1745007046,CHIRPOTI
