1745001059002,KACHHARI RYT.
1745001059003,KACHHARII MAL
1745001060001,KHURSIPAR RYT.
1745001060002,KHURSIPAR MAL.
1745001060003,DHIRWAN KALAN
1745001061001,BHILAI MAL.
1745001061002,BHILAI RYT (V)
1745001062001,BHARDWARA
1745001062002,KARAUNDI
1745001062003,BERKHEDA
1745001063001,GUTLI RYT.
1745001063002,GUTALWAH
1745001063003,GHUTAINA RYT
1745001064001,TIKRA SARAI ALIAS BASA
1745001064002,GHAGUVA MAL
1745001065001,KHAMHARIYA RYT.
1745001065002,KHALHE MAHESPURI
1745001065003,PATPARA MAL.
1745001065004,CHEERPAANI VAN GRAM
1745001065005,TIKARA MAHESHPURI VAN GRAM
1745001066001,DUBA MAL.
1745001066002,DUBA RYT.
1745001066003,PATPARA RYT.
1745001067001,KHITAULA RYT.
1745001067002,CHAURA RYT.
1745001067003,KHITAULA MAL.
1745001067004,DULLOPUR
1745001067005,PITRI MAL.
1745001067006,PITRI RYT.
1745001067007,CHAURA MAL (V)
1745001068001,LALPUR
1745001068002,RAIPURA MAL.
1745001069001,SHAHPURA
1745002001001,MUDKI MAL.
1745002001002,DAND VIDAYPUR MAL.
1745002001003,DAND VIDAYPUR
1745002002001,VICHARPUR
1745002002002,DEORA
1745002003001,BIJAURA .
1745002003002,DULLOPUR
1745002004001,JATA RYT.
1745002004002,JATA MAL.
1745002004003,AJHWAR RYT.
1745002004004,AJHWAR MAL.
1745002004005,UMARDHA VAN GRAM
1745002005001,GWARA .
1745002005002,SARANGPUR PADARIYA
1745002006001,CHANDOL
1745002006002,MOHGAON
1745002006003,CHICHRINGPUR
1745002006004,MOHAN JHIR
1745002007001,RAIPURA MAL.
1745002007002,RAIPURA RYT.
1745002007003,NIGWANI
1745002008001,DHAURAI RYT.
1745002008002,RAHANGI MAL.
1745002008003,EMLAI MAL.
1745002008004,EMLAI RYT.
1745002009001,KAILWARA
1745002009002,SARAI
1745002009003,MUDKI
1745002009004,SAJEHERA
1745002009005,JALDHARA VAN GRAM (V)
1745002010001,JAMGAON
1745002010002,NAGDAWAN MAL.
1745002010003,NAGDAMAN RYT (V)
1745002011001,DUDHI MAJHOLI
1745002011002,RAILY MAL.
1745002011003,RAILY RYT.
1745002012001,MAKKE
1745002012002,SAHAJPURI
1745002012003,PATKUHI VAN GRAM
1745002013001,MORCHA RYT.
1745002013002,MORCHA MAL.
1745002013003,SILHARI
1745002013004,LAKHANPURA
1745002014001,PADARIYA RYT.
1745002014002,KEOLARI MAL.
1745002014003,KEOLARI RYT.
1745002015001,KHURPAR
1745002015002,JUNWANI
1745002016001,KURKWARA MAL.
1745002016002,KURKWARA RYT.
1745002016003,MUDHIYA KALAN
1745002017001,VIDAYPUR .
1745002017002,KHAMHEE MAL.
1745002017003,KHAMHEE RYT.
1745002018001,NIWSA
1745002018002,DIYAWAR
1745002018003,BARWARA
1745002018004,MOHGAON RYT.
1745002019001,BAINDRA RYT-
1745002019002,NACHUNKA RYT.
1745002019003,BASANIYA MAL.
1745002019004,LUDRA RYT.
1745002020001,VINODI
1745002020002,CHATIYA
1745002020003,TENDUMER MOHTARA
1745002021001,KUTDAR RYT
1745002021002,GANWAHI
1745002021003,MUDKI
1745002022001,AMNI PIPARIYA MAL.
1745002022002,AMNI PIPARIYA RYT.
1745002022003,BHARDWARA
1745002023001,LUGDARA MAL.
1745002023002,CHHIWALI RYT.
1745002023003,CHHIWALI MAL.
1745002023004,LUGDARA RYT (V)
1745002024001,KOHKA MAL.
1745002024002,DAND BICHHIYA
1745002025001,GHANAGHAT
1745002025002,KANAI SANGWA
1745002026001,MADIYARAS
1745002027001,GOPALPUR
1745002027002,DEVKARA VAN GRAM
1745002027003,PADARIYA MAL
1745002028001,DHURRA
1745002028002,BHESLAGAN MAL.
1745002028003,BHESLAGAN RYT
1745002029001,DUNIYA MAL.
1745002029002,BAGHAD
